Year,Actor,Film,Role(s)
,Dustin Hoffman,Tootsie,"Michael Dorsey, aka Dorothy Michaels"
,Jack Lemmon,Missing,Ed Horman
,Paul Newman,The Verdict,Frank Galvin
,Peter O'Toole,My Favorite Year,Alan Swann
"1983
(56th)",Robert Duvall,Tender Mercies,Mac Sledge
,Michael Caine,Educating Rita,Dr. Frank Bryant
,Tom Conti,"Reuben, Reuben",Gowan McGland
,Tom Courtenay,The Dresser,Norman
,Albert Finney,The Dresser,Sir
"1984
(57th)",F. Murray Abraham,Amadeus,Antonio Salieri
,Jeff Bridges,Starman,Starman
,Albert Finney,Under the Volcano,Geoffrey Firmin
,Tom Hulce,Amadeus,Wolfgang Amadeus Mozart
,Sam Waterston,The Killing Fields,Sydney Schanberg
"1985
(58th)",William Hurt,Kiss of the Spider Woman,Luis Molina
,Harrison Ford,Witness,Detective Captain John Book
,James Garner,Murphy's Romance,Murphy Jones
,Jack Nicholson,Prizzi's Honor,Charley Partanna
,Jon Voight,Runaway Train,"Oscar ""Manny"" Manheim"
"1986
(59th)",Paul Newman,The Color of Money,Fast Eddie Felson
,Dexter Gordon,Round Midnight,Dale Turner
,Bob Hoskins,Mona Lisa,George
,William Hurt,Children of a Lesser God,James Leeds
,James Woods,Salvador,Richard Boyle
"1987
(60th)",Michael Douglas,Wall Street,Gordon Gekko
,William Hurt,Broadcast News,Tom Grunick
,Marcello Mastroianni,Dark Eyes,Romano
,Jack Nicholson,Ironweed,Francis Phelan
,Robin Williams,"Good Morning, Vietnam",Adrian Cronauer
"1988
(61st)",Dustin Hoffman,Rain Man,Raymond Babbitt
,Gene Hackman,Mississippi Burning,Agent Rupert Anderson
,Tom Hanks,Big,Josh Baskin
,Edward James Olmos,Stand and Deliver,Jaime Escalante
,Max von Sydow,Pelle the Conqueror,Lassefar
"1989
(62nd)",Daniel Day-Lewis,My Left Foot,Christy Brown
,Kenneth Branagh,Henry V,King Henry V of England
,Tom Cruise,Born on the Fourth of July,Ron Kovic
,Morgan Freeman,Driving Miss Daisy,Hoke Colburn
,Robin Williams,Dead Poets Society,"John Charles ""Keats"" Keating"
"1990
(63rd)",Jeremy Irons,Reversal of Fortune,Claus von Bülow
,Kevin Costner,Dances with Wolves,Lieutenant John J. Dunbar
,Robert De Niro,Awakenings,Leonard Lowe
,Gérard Depardieu,Cyrano de Bergerac,Cyrano de Bergerac
,Richard Harris,The Field,"""Bull"" McCabe"
"1991
(64th)",Anthony Hopkins,The Silence of the Lambs,Dr. Hannibal Lecter
,Warren Beatty,Bugsy,"Benjamin ""Bugsy"" Siegel"
,Robert De Niro,Cape Fear,"Maximilian ""Max"" Cady"
,Nick Nolte,The Prince of Tides,Tom Wingo
,Robin Williams,The Fisher King,"Henry ""Parry"" Sagan"
"1992
(65th)",Al Pacino,Scent of a Woman,Lieutenant Colonel Frank Slade
,Robert Downey Jr.,Chaplin,Charlie Chaplin
,Clint Eastwood,Unforgiven,"William ""Will"" Munny"
,Stephen Rea,The Crying Game,Fergus
,Denzel Washington,Malcolm X,Malcolm X
"1993
(66th)",Tom Hanks,Philadelphia,Andrew Beckett
,Daniel Day-Lewis,In the Name of the Father,Gerry Conlon
,Laurence Fishburne,What's Love Got to Do with It,Ike Turner
,Anthony Hopkins,The Remains of the Day,James Stevens
,Liam Neeson,Schindler's List,Oskar Schindler
"1994
(67th)",Tom Hanks,Forrest Gump,Forrest Gump
,Morgan Freeman,The Shawshank Redemption,"Ellis Boyd ""Red"" Redding"
,Nigel Hawthorne,The Madness of King George,King George III
,Paul Newman,Nobody's Fool,"Donald ""Sully"" Sullivan"
,John Travolta,Pulp Fiction,Vincent Vega
"1995
(68th)",Nicolas Cage,Leaving Las Vegas,Ben Sanderson
,Richard Dreyfuss,Mr. Holland's Opus,Glenn Holland
,Anthony Hopkins,Nixon,Richard Nixon
,Sean Penn,Dead Man Walking,Matthew Poncelet
,Massimo Troisi *[38],Il Postino,Mario Ruoppolo
"1996
(69th)",Geoffrey Rush,Shine,David Helfgott
,Tom Cruise,Jerry Maguire,Jerry Maguire
,Ralph Fiennes,The English Patient,Count Laszlo de Almásy
,Woody Harrelson,The People vs. Larry Flynt,Larry Flynt
,Billy Bob Thornton,Sling Blade,Karl Childers
"1997
(70th)",Jack Nicholson,As Good as It Gets,Melvin Udall
,Matt Damon,Good Will Hunting,Will Hunting
,Robert Duvall,The Apostle,"Euliss ""Sonny"" Dewey"
,Peter Fonda,Ulee's Gold,"Ulysses ""Ulee"" Jackson"
,Dustin Hoffman,Wag the Dog,Stanley Motss
"1998
(71st)",Roberto Benigni,Life Is Beautiful,Guido Orefice
,Tom Hanks,Saving Private Ryan,Captain John Miller
,Ian McKellen,Gods and Monsters,James Whale
,Nick Nolte,Affliction,Wade Whitehouse
,Edward Norton,American History X,Derek Vinyard
"1999
(72nd)",Kevin Spacey,American Beauty,Lester Burnham
,Russell Crowe,The Insider,Jeffrey Wigand
,Richard Farnsworth,The Straight Story,Alvin Straight
,Sean Penn,Sweet and Lowdown,Emmet Ray
,Denzel Washington,The Hurricane,"Rubin ""The Hurricane"" Carter"
"2000
(73rd)",Russell Crowe,Gladiator,Maximus Decimus Meridius
,Javier Bardem,Before Night Falls,Reinaldo Arenas
,Tom Hanks,Cast Away,Chuck Noland
,Ed Harris,Pollock,Jackson Pollock
,Geoffrey Rush,Quills,The Marquis de Sade
"2001
(74th)",Denzel Washington,Training Day,Detective Alonzo Harris
,Russell Crowe,A Beautiful Mind,John Forbes Nash Jr.
,Sean Penn,I Am Sam,Sam Dawson
,Will Smith,Ali,Muhammad Ali
,Tom Wilkinson,In the Bedroom,Dr. Matt Fowler
"2002
(75th)",Adrien Brody,The Pianist,Władysław Szpilman
,Nicolas Cage,Adaptation,"Charlie Kaufman
Donald Kaufman"
