Year,Actor,Film,Role(s)
,Cara Williams,The Defiant Ones,Billy's Mother
"1959
(32nd)",Shelley Winters,The Diary of Anne Frank,Petronella van Daan
,Hermione Baddeley,Room at the Top,Elspeth
,Susan Kohner,Imitation of Life,Sarah Jane Johnson
,Juanita Moore,,Annie Johnson
,Thelma Ritter,Pillow Talk,Alma
"1960
(33rd)",Shirley Jones,Elmer Gantry,Lulu Baines
,Glynis Johns,The Sundowners,Mrs. Firth
,Shirley Knight,The Dark at the Top of the Stairs,Reenie Flood
,Janet Leigh,Psycho,Marion Crane
,Mary Ure,Sons and Lovers,Clara Dawes
"1961
(34th)",Rita Moreno,West Side Story,Anita del Carmen
,Fay Bainter,The Children's Hour,Amelia Tilford
,Judy Garland,Judgment at Nuremberg,Irene Hoffman-Wallner
,Lotte Lenya,The Roman Spring of Mrs. Stone,Magda Terribili-Gonzales
,Una Merkel,Summer and Smoke,Mrs. Winemiller
"1962
(35th)",Patty Duke,The Miracle Worker,Helen Keller
,Mary Badham,To Kill a Mockingbird,"Jean Louise ""Scout"" Finch"
,Shirley Knight,Sweet Bird of Youth,Heavenly Finley
,Angela Lansbury,The Manchurian Candidate,Eleanor Iselin
,Thelma Ritter,Birdman of Alcatraz,Elizabeth McCartney-Stroud
"1963
(36th)",Margaret Rutherford,The V.I.P.s,The Duchess of Brighton
,Diane Cilento,Tom Jones,Molly Seagrim
,Edith Evans,,Miss Western
,Joyce Redman,,Mrs. Waters/Jenny Jones
,Lilia Skala,Lilies of the Field,Mother Maria Marthe
"1964
(37th)",Lila Kedrova,Zorba the Greek,Madame Hortense
,Gladys Cooper,My Fair Lady,Mrs. Higgins
,Edith Evans,The Chalk Garden,Mrs. St. Maugham
,Grayson Hall,The Night of the Iguana,Judith Fellowes
,Agnes Moorehead,"Hush… Hush, Sweet Charlotte",Velma Cruther
"1965
(38th)",Shelley Winters,A Patch of Blue,Rose-ann D'Arcey
,Ruth Gordon,Inside Daisy Clover,Lucile Clover/The Dealer
,Joyce Redman,Othello,Emilia
,Maggie Smith,,Desdemona
,Peggy Wood,The Sound of Music,"Virgilia, Mother Abbess"
"1966
(39th)",Sandy Dennis,Who's Afraid of Virginia Woolf?,Honey
,Wendy Hiller,A Man for All Seasons,Alice More
,Jocelyne LaGarde,Hawaii,Malama Kanakoa
,Vivien Merchant,Alfie,Lily Clamacraft
,Geraldine Page,You're a Big Boy Now,Margery Chanticleer
"1967
(40th)",Estelle Parsons,Bonnie and Clyde,Blanche Barrow
,Carol Channing,Thoroughly Modern Millie,Muzzy van Hossmere
,Mildred Natwick,Barefoot in the Park,Ethel Banks
,Beah Richards,Guess Who's Coming to Dinner,Mary Prentice
,Katharine Ross,The Graduate,Elaine Robinson
"1968
(41st)",Ruth Gordon,Rosemary's Baby,Minnie Castevet
,Lynn Carlin,Faces,Maria Forst
,Sondra Locke,The Heart Is a Lonely Hunter,Mick Kelly
,Kay Medford,Funny Girl,Rose Stern-Borach
,Estelle Parsons,"Rachel, Rachel",Calla Mackie
"1969
(42nd)",Goldie Hawn,Cactus Flower,Toni Simmons
,Catherine Burns,Last Summer,Rhoda
,Dyan Cannon,Bob & Carol & Ted & Alice,Alice Henderson
,Sylvia Miles,Midnight Cowboy,Cass
,Susannah York,"They Shoot Horses, Don't They?",Alice LeBlanc
"1970
(43rd)",Helen Hayes,Airport,Ada Quonsett
,Karen Black,Five Easy Pieces,Rayette Dipesto
,Lee Grant,The Landlord,Joyce Enders
,Sally Kellerman,MASH,Margaret O'Houlihan
,Maureen Stapleton,Airport,Inez Guerrero
"1971
(44th)",Cloris Leachman,The Last Picture Show,Ruth Popper
,Ann-Margret,Carnal Knowledge,Bobbie
,Ellen Burstyn,The Last Picture Show,Lois Farrow
,Barbara Harris,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,Allison Densmore
,Margaret Leighton,The Go-Between,Mrs. Maudsley
"1972
(45th)",Eileen Heckart,Butterflies Are Free,Mrs. Baker
,Jeannie Berlin,The Heartbreak Kid,Lila Kolodny
,Geraldine Page,Pete 'n' Tillie,Gertrude Wilson
,Susan Tyrrell,Fat City,Oma Lee Greer
,Shelley Winters,The Poseidon Adventure,Belle Rosen
"1973
(46th)",Tatum O'Neal,Paper Moon,Addie Loggins
,Linda Blair,The Exorcist,Regan MacNeil
,Candy Clark,American Graffiti,Debbie Dunham
,Madeline Kahn,Paper Moon,Trixie Delight
,Sylvia Sidney,"Summer Wishes, Winter Dreams",Mrs. Pritchett
"1974
(47th)",Ingrid Bergman,Murder on the Orient Express,Greta Ohlsson
,Valentina Cortese,Day for Night,Séverine
,Madeline Kahn,Blazing Saddles,Lili von Shtupp
,Diane Ladd,Alice Doesn't Live Here Anymore,"Florence ""Flo"" Castleberry"
,Talia Shire,The Godfather Part II,Connie Corleone
"1975
(48th)",Lee Grant,Shampoo,Felicia Karpf
,Ronee Blakley,Nashville,Barbara Jean
,Sylvia Miles,"Farewell, My Lovely",Jessie Halstead Florian
,Lily Tomlin,Nashville,Linnea Reese
,Brenda Vaccaro,Jacqueline Susann's Once Is Not Enough,Linda Riggs
"1976
(49th)",Beatrice Straight,Network,Louise Schumacher
,Jane Alexander,All the President's Men,Judy Hoback
,Jodie Foster,Taxi Driver,Iris Steensma
,Lee Grant,Voyage of the Damned,Lillian Rosen
,Piper Laurie,Carrie,Margaret White
"1977
(50th)",Vanessa Redgrave,Julia,Julia
,Leslie Browne,The Turning Point,Emilia Rodgers
,Quinn Cummings,The Goodbye Girl,Lucy McFadden
,Melinda Dillon,Close Encounters of the Third Kind,Jillian Guiler
,Tuesday Weld,Looking for Mr. Goodbar,Katherine Dunn
"1978
(51st)",Maggie Smith,California Suite,Diane Barrie
,Dyan Cannon,Heaven Can Wait,Julia Farnsworth
,Penelope Milford,Coming Home,Vi Munson
,Maureen Stapleton,Interiors,Pearl
,Meryl Streep,The Deer Hunter,Linda
"1979
(52nd)",Meryl Streep,Kramer vs. Kramer,Joanna Stern-Kramer
,Jane Alexander,Kramer vs. Kramer,Margaret Phelps
,Barbara Barrie,Breaking Away,Evelyn Stoller
,Candice Bergen,Starting Over,Jessica Potter
,Mariel Hemingway,Manhattan,Tracy
"1980
(53rd)",Mary Steenburgen,Melvin and Howard,Lynda West-Dummar
,Eileen Brennan,Private Benjamin,Doreen Lewis
,Eva Le Gallienne,Resurrection,Pearl
,Cathy Moriarty,Raging Bull,Vicki Thailer-LaMotta
,Diana Scarwid,Inside Moves,Louise
"1981
(54th)",Maureen Stapleton,Reds,Emma Goldman
,Melinda Dillon,Absence of Malice,Teresa Perrone
,Jane Fonda,On Golden Pond,Chelsea Thayer Wayne
,Joan Hackett,Only When I Laugh,Toby Landau
,Elizabeth McGovern,Ragtime,Evelyn Nesbit
"1982
(55th)",Jessica Lange,Tootsie,Julie Nichols
,Glenn Close,The World According to Garp,Jenny Fields
,Teri Garr,Tootsie,Sandy Lester
,Kim Stanley,Frances,Lillian Farmer
,Lesley Ann Warren,Victor Victoria,Norma Cassady
"1983
(56th)",Linda Hunt,The Year of Living Dangerously,Billy Kwan
,Cher,Silkwood,Dolly Pelliker
,Glenn Close,The Big Chill,Sarah Cooper
,Amy Irving,Yentl,Hadass Vishkower
,Alfre Woodard,Cross Creek,"Beatrice ""Geechee"""
"1984
(57th)",Peggy Ashcroft,A Passage to India,Mrs. Moore
,Glenn Close,The Natural,Iris Gaines
,Lindsay Crouse,Places in the Heart,Margaret Lomax
,Christine Lahti,Swing Shift,Hazel Zanussi
,Geraldine Page,The Pope of Greenwich Village,Mrs. Ritter
"1985
(58th)",Anjelica Huston,Prizzi's Honor,Maerose Prizzi
,Margaret Avery,The Color Purple,Shug Avery
,Amy Madigan,Twice in a Lifetime,Sunny MacKenzie-Sobel
,Meg Tilly,Agnes of God,Sister Agnes Devereaux
,Oprah Winfrey,The Color Purple,Sofia Johnson
"1986
(59th)",Dianne Wiest,Hannah and Her Sisters,Holly
,Tess Harper,Crimes of the Heart,Chick Boyle
,Piper Laurie,Children of a Lesser God,Mrs. Norman
,Mary Elizabeth Mastrantonio,The Color of Money,Carmen
,Maggie Smith,A Room with a View,Charlotte Bartlett
"1987
(60th)",Olympia Dukakis,Moonstruck,Rose Castorini
,Norma Aleandro,Gaby: A True Story,Florencia Sánchez Morales
,Anne Archer,Fatal Attraction,Beth Rogerson-Gallagher
,Anne Ramsey,Throw Momma from the Train,Mrs. Lift
,Ann Sothern,The Whales of August,Letitia Benson-Doughty
"1988
(61st)",Geena Davis,The Accidental Tourist,Muriel Pritchett
,Joan Cusack,Working Girl,Cyn
,Frances McDormand,Mississippi Burning,Mrs. Pell
,Michelle Pfeiffer,Dangerous Liaisons,Madame Marie de Tourvel
,Sigourney Weaver,Working Girl,Katharine Parker
"1989
(62nd)",Brenda Fricker,My Left Foot,Bridget Fagan-Brown
,Anjelica Huston,"Enemies, A Love Story",Tamara Broder
,Lena Olin,,Masha Bloch
,Julia Roberts,Steel Magnolias,Shelby Eatenton-Latcherie
,Dianne Wiest,Parenthood,Helen Buckman
"1990
(63rd)",Whoopi Goldberg,Ghost,Oda Mae Brown
,Annette Bening,The Grifters,Myra Langtry
,Lorraine Bracco,Goodfellas,Karen Friedman-Hill
,Diane Ladd,Wild at Heart,Marietta Pace Fortune
,Mary McDonnell,Dances with Wolves,Stands With a Fist
"1991
(64th)",Mercedes Ruehl,The Fisher King,Anne Napolitano
,Diane Ladd,Rambling Rose,Mrs. Hillyer
,Juliette Lewis,Cape Fear,Danielle Bowden
,Kate Nelligan,The Prince of Tides,Lila Wingo-Newbury
,Jessica Tandy,Fried Green Tomatoes,"Virginia ""Ninny"" Threadgoode"
"1992
(65th)",Marisa Tomei,My Cousin Vinny,Mona Lisa Vito
,Judy Davis,Husbands and Wives,Sally
,Joan Plowright,Enchanted April,Mrs. Fisher
,Vanessa Redgrave,Howards End,Ruth Wilcox
,Miranda Richardson,Damage,Ingrid Thompson-Fleming
"1993
(66th)",Anna Paquin,The Piano,Flora McGrath
,Holly Hunter,The Firm,"Tamara ""Tammy"" Hemphill"
,Rosie Perez,Fearless,Carla Rodrigo
,Winona Ryder,The Age of Innocence,May Welland
,Emma Thompson,In the Name of the Father,Gareth Peirce
"1994
(67th)",Dianne Wiest,Bullets over Broadway,Helen Sinclair
,Rosemary Harris,Tom & Viv,Rose Haigh-Wood
,Helen Mirren,The Madness of King George,Queen Charlotte
,Uma Thurman,Pulp Fiction,Mia Wallace
,Jennifer Tilly,Bullets over Broadway,Olive Neal
"1995
(68th)",Mira Sorvino,Mighty Aphrodite,Leslie/Linda Ash
,Joan Allen,Nixon,Pat Nixon
,Kathleen Quinlan,Apollo 13,Marilyn Lovell
,Mare Winningham,Georgia,Georgia Flood
,Kate Winslet,Sense and Sensibility,Marianne Dashwood
"1996
(69th)",Juliette Binoche,The English Patient,Hana
,Joan Allen,The Crucible,Elizabeth Proctor
,Lauren Bacall,The Mirror Has Two Faces,Hannah Morgan
,Barbara Hershey,The Portrait of a Lady,Madame Serena Merle
,Marianne Jean-Baptiste,Secrets & Lies,Hortense Cumberbatch
"1997
(70th)",Kim Basinger,L.A. Confidential,Lynn Margaret Bracken
,Joan Cusack,In & Out,Emily Montgomery
,Minnie Driver,Good Will Hunting,Skylar Satenstein
,Julianne Moore,Boogie Nights,Amber Waves/Maggie
,Gloria Stuart,Titanic,Rose Dawson Calvert
"1998
(71st)",Judi Dench,Shakespeare in Love,Queen Elizabeth I
,Kathy Bates,Primary Colors,Libby Holden
,Brenda Blethyn,Little Voice,Mari Hoff
,Rachel Griffiths,Hilary and Jackie,Hilary du Pré
,Lynn Redgrave,Gods and Monsters,Hanna
"1999
(72nd)",Angelina Jolie,"Girl, Interrupted",Lisa Rowe
,Toni Collette,The Sixth Sense,Lynn Sear
,Catherine Keener,Being John Malkovich,Maxine Lund
,Samantha Morton,Sweet and Lowdown,Hattie
,Chloë Sevigny,Boys Don't Cry,Lana Tisdel
"2000
(73rd)",Marcia Gay Harden,Pollock,Lee Krasner
,Judi Dench,Chocolat,Armande Voizin
,Kate Hudson,Almost Famous,Penny Lane
,Frances McDormand,,Elaine Miller
,Julie Walters,Billy Elliot,Georgia Wilkinson
"2001
(74th)",Jennifer Connelly,A Beautiful Mind,Alicia de Lardé-Nash
,Helen Mirren,Gosford Park,Jane Wilson
,Maggie Smith,,Constance Trentham
,Marisa Tomei,In the Bedroom,Natalie Strout
,Kate Winslet,Iris,Iris Murdoch
"2002
(75th)",Catherine Zeta-Jones,Chicago,Velma Kelly
,Kathy Bates,About Schmidt,Roberta Hertzel
,Julianne Moore,The Hours,Laura McGrath-Brown
,Queen Latifah,Chicago,Matron Mama Morton
,Meryl Streep,Adaptation,Susan Orlean
"2003
(76th)",Renée Zellweger,Cold Mountain,Ruby Thewes
,Shohreh Aghdashloo,House of Sand and Fog,Nadereh Behrani
,Patricia Clarkson,Pieces of April,Joy Burns
,Marcia Gay Harden,Mystic River,Celeste Samarco-Boyle
,Holly Hunter,Thirteen,Melanie Freeland
"2004
(77th)",Cate Blanchett,The Aviator,Katharine Hepburn
,Laura Linney,Kinsey,Clara McMillen
,Virginia Madsen,Sideways,Maya Randall
,Sophie Okonedo,Hotel Rwanda,Tatiana Rusesabagina
,Natalie Portman,Closer,Jane Jones/Alice Ayres
"2005
(78th)",Rachel Weisz,The Constant Gardener,Tessa Abbott-Quayle
,Amy Adams,Junebug,Ashley Johnsten
,Catherine Keener,Capote,Nelle Harper Lee
,Frances McDormand,North Country,Glory Dodge
,Michelle Williams,Brokeback Mountain,Alma Beers-Del Mar
"2006
(79th)",Jennifer Hudson,Dreamgirls,Effie Melody White
,Adriana Barraza,Babel,Amelia Hernández
,Cate Blanchett,Notes on a Scandal,"Bathsheba ""Sheba"" Hart"
,Abigail Breslin,Little Miss Sunshine,Olive Hoover
,Rinko Kikuchi,Babel,Chieko Wataya
"2007
(80th)",Tilda Swinton,Michael Clayton,Karen Crowder
,Cate Blanchett,I'm Not There,Jude Quinn
,Ruby Dee,American Gangster,Mahalee Lucas
,Saoirse Ronan,Atonement,Briony Tallis
,Amy Ryan,Gone Baby Gone,Helene McCready
"2008
(81st)",Penélope Cruz,Vicky Cristina Barcelona,María Elena
,Amy Adams,Doubt,Sister Marita James
,Viola Davis,,Mrs. Miller
,Taraji P. Henson,The Curious Case of Benjamin Button,Queenie
,Marisa Tomei,The Wrestler,Cassidy/Pam
"2009
(82nd)",Mo'Nique,Precious,Mary Lee Johnston
,Penélope Cruz,Nine,Carla Albanese
,Vera Farmiga,Up in the Air,Alex Goran
,Maggie Gyllenhaal,Crazy Heart,Jean Craddock
,Anna Kendrick,Up in the Air,Natalie Keener
"2010
(83rd)",Melissa Leo,The Fighter,Alice Eklund-Ward
,Amy Adams,The Fighter,Charlene Fleming
,Helena Bonham Carter,The King's Speech,The Queen Mother
,Hailee Steinfeld,True Grit,Mattie Ross
,Jacki Weaver,Animal Kingdom,"Janine ""Smurf"" Cody"
"2011
(84th)",Octavia Spencer,The Help,Minny Jackson
,Bérénice Bejo,The Artist,Peppy Miller
,Jessica Chastain,The Help,Celia Rae Foote
,Melissa McCarthy,Bridesmaids,Megan Price
,Janet McTeer,Albert Nobbs,Hubert Page
"2012
(85th)",Anne Hathaway,Les Misérables,Fantine
,Amy Adams,The Master,"Margaret ""Peggy"" Dodd"
,Sally Field,Lincoln,Mary Todd Lincoln
,Helen Hunt,The Sessions,Cheryl Cohen-Greene
,Jacki Weaver,Silver Linings Playbook,Dolores Solitano
"2013
(86th)",Lupita Nyong'o,12 Years a Slave,Patsey
,Sally Hawkins,Blue Jasmine,Ginger
,Jennifer Lawrence,American Hustle,Rosalyn Rosenfeld
,Julia Roberts,August: Osage County,Barbara Weston-Fordham
,June Squibb,Nebraska,Kate Grant
"2014
(87th)",Patricia Arquette,Boyhood,Olivia Evans
,Laura Dern,Wild,Bobbi Grey
,Keira Knightley,The Imitation Game,Joan Clarke
,Emma Stone,Birdman,Sam Thomson
,Meryl Streep,Into the Woods,The Witch
"2015
(88th)",Alicia Vikander,The Danish Girl,Gerda Wegener
,Jennifer Jason Leigh,The Hateful Eight,Daisy Domergue
,Rooney Mara,Carol,Therese Belivet
,Rachel McAdams,Spotlight,Sacha Pfeiffer
,Kate Winslet,Steve Jobs,Joanna Hoffman
"2016
(89th)",Viola Davis,Fences,Rose Lee Maxson
,Naomie Harris,Moonlight,Paula
,Nicole Kidman,Lion,Sue Brierley
,Octavia Spencer,Hidden Figures,Dorothy Vaughan
,Michelle Williams,Manchester by the Sea,Randi
"1927/28
(1st)",Janet Gaynor,"7th Heaven
Street Angel
Sunrise: A Song of Two Humans","Diane
Angela
The Wife"
,Louise Dresser,A Ship Comes In,Mrs. Pleznik
,Gloria Swanson,Sadie Thompson,Sadie Thompson
"1928/29
(2nd)",Mary Pickford,Coquette,Norma Besant
,Ruth Chatterton,Madame X,Jacqueline Floriot
,Betty Compson,The Barker,Carrie
,Jeanne Eagels,The Letter,Leslie Crosbie
,Corinne Griffith,The Divine Lady,Emma Hamilton
,Bessie Love,The Broadway Melody,Hank Mahoney
"1929/30
(3rd)",Norma Shearer [A],The Divorcee,Jerry Bernard Martin
,Nancy Carroll,The Devil's Holiday,Hallie Hobart
,Ruth Chatterton,Sarah and Son,Sarah Storm
,Greta Garbo [A],"Anna Christie
Romance","Anna Christie
Madame Rita Cavallini"
,Norma Shearer,Their Own Desire,Lucia Marlett
,Gloria Swanson,The Trespasser,Marion Donnell
"1930/31
(4th)",Marie Dressler,Min and Bill,Min Divot
,Marlene Dietrich,Morocco,Mademoiselle Amy Jolly
,Irene Dunne,Cimarron,Sabra Cravat
,Ann Harding,Holiday,Linda Seton
,Norma Shearer,A Free Soul,Jan Ashe
"1931/32
(5th)",Helen Hayes,The Sin of Madelon Claudet,Madelon Claudet
,Marie Dressler,Emma,Emma Thatcher Smith
,Lynn Fontanne,The Guardsman,The Actress
"1932/33
(6th)",Katharine Hepburn,Morning Glory,Eva Lovelace
,May Robson,Lady for a Day,Apple Annie
,Diana Wynyard,Cavalcade,Jane Marryot
"1934
(7th)",Claudette Colbert,It Happened One Night,Ellie Andrews
,Grace Moore,One Night of Love,Mary Barrett
,Norma Shearer,The Barretts of Wimpole Street,Elizabeth Barrett
,Bette Davis [B],Of Human Bondage,Mildred Rogers
"1935
(8th)",Bette Davis,Dangerous,Joyce Heath
,Elisabeth Bergner,Escape Me Never,Gemma Jones
,Claudette Colbert,Private Worlds,Jane Everest
,Katharine Hepburn,Alice Adams,Alice Adams
,Miriam Hopkins,Becky Sharp,Becky Sharp
,Merle Oberon,The Dark Angel,Kitty Vane
"1936
(9th)",Luise Rainer,The Great Ziegfeld,Anna Held
,Irene Dunne,Theodora Goes Wild,Theodora Lynn
,Gladys George,Valiant Is the Word for Carrie,Carrie Snyder
,Carole Lombard,My Man Godfrey,Irene Bullock
,Norma Shearer,Romeo and Juliet,Juliet Capulet
"1937
(10th)",Luise Rainer,The Good Earth,O-Lan
,Irene Dunne,The Awful Truth,Lucy Warriner
,Greta Garbo,Camille,Marguerite Gautier
,Janet Gaynor,A Star Is Born,Esther Victoria Blodgett / Vicki Lester
,Barbara Stanwyck,Stella Dallas,Stella Martin Dallas
"1938
(11th)",Bette Davis,Jezebel,Julie Marsden
,Fay Bainter,White Banners,Hannah Parmalee
,Wendy Hiller,Pygmalion,Eliza Doolittle
,Norma Shearer,Marie Antoinette,Marie Antoinette
,Margaret Sullavan,Three Comrades,Patricia 'Pat' Hollmann
"1939
(12th)",Vivien Leigh,Gone with the Wind,Scarlett O'Hara
,Bette Davis,Dark Victory,Judith Traherne
,Irene Dunne,Love Affair,Terry McKay
,Greta Garbo,Ninotchka,Nina Yakushova 'Ninotchka' Ivanoff
,Greer Garson,"Goodbye, Mr. Chips",Katherine Bridges
"1940
(13th)",Ginger Rogers,Kitty Foyle,Kitty Foyle
,Bette Davis,The Letter,Leslie Crosbie
,Joan Fontaine,Rebecca,The Second Mrs. de Winter
,Katharine Hepburn,The Philadelphia Story,Tracy Lord
,Martha Scott,Our Town,Emily Webb
"1941
(14th)",Joan Fontaine,Suspicion,Lina McLaidlaw Aysgarth
,Bette Davis,The Little Foxes,Regina Giddens
,Olivia de Havilland,Hold Back the Dawn,Emmy Brown
,Greer Garson,Blossoms in the Dust,Edna Gladney
,Barbara Stanwyck,Ball of Fire,Katherine 'Sugarpuss' O'Shea
"1942
(15th)",Greer Garson,Mrs. Miniver,Kay Miniver
,Bette Davis,"Now, Voyager",Charlotte Vale
,Katharine Hepburn,Woman of the Year,Tess Harding
,Rosalind Russell,My Sister Eileen,Ruth Sherwood
,Teresa Wright,The Pride of the Yankees,Eleanor Twitchell Gehrig
"1943
(16th)",Jennifer Jones,The Song of Bernadette,Bernadette Soubirous
,Jean Arthur,The More the Merrier,"Constance ""Connie"" Milligan"
,Ingrid Bergman,For Whom the Bell Tolls,María
,Joan Fontaine,The Constant Nymph,Tessa Sanger
,Greer Garson,Madame Curie,Marie Curie
"1944
(17th)",Ingrid Bergman,Gaslight,Paula Alquist Anton
,Claudette Colbert,Since You Went Away,Anne Hilton
,Bette Davis,Mr. Skeffington,Fanny Trellis
,Greer Garson,Mrs. Parkington,Susie 'Sparrow' Parkington
,Barbara Stanwyck,Double Indemnity,Phyllis Dietrichson
"1945
(18th)",Joan Crawford,Mildred Pierce,Mildred Pierce Beragon
,Ingrid Bergman,The Bells of St. Mary's,Mary Benedict
,Greer Garson,The Valley of Decision,Mary Rafferty
,Jennifer Jones,Love Letters,Singleton
,Gene Tierney,Leave Her to Heaven,Ellen Berent Harland
"1946
(19th)",Olivia de Havilland,To Each His Own,Josephine 'Jody' Norris
,Celia Johnson,Brief Encounter,Laura Jesson
,Jennifer Jones,Duel in the Sun,Pearl Chavez
,Rosalind Russell,Sister Kenny,Elizabeth Kenny
,Jane Wyman,The Yearling,Orry Baxter
"1947
(20th)",Loretta Young,The Farmer's Daughter,Katie Holstrom
,Joan Crawford,Possessed,Louise Howell
,Susan Hayward,"Smash-Up, the Story of a Woman",Angelica Evans Conway
,Dorothy McGuire,Gentleman's Agreement,Kathy Lacy
,Rosalind Russell,Mourning Becomes Electra,Lavinia Mannon
"1948
(21st)",Jane Wyman,Johnny Belinda,Belinda McDonald
,Ingrid Bergman,Joan of Arc,Joan of Arc
,Olivia de Havilland,The Snake Pit,Virginia Stuart Cunningham
,Irene Dunne,I Remember Mama,Martha Hanson
,Barbara Stanwyck,"Sorry, Wrong Number",Leona Stevenson
"1949
(22nd)",Olivia de Havilland,The Heiress,Catherine Sloper
,Jeanne Crain,Pinky,Patricia 'Pinky' Johnson
,Susan Hayward,My Foolish Heart,Eloise Winters
,Deborah Kerr,"Edward, My Son",Evelyn Boult
,Loretta Young,Come to the Stable,Margaret
"1950
(23rd)",Judy Holliday,Born Yesterday,Emma 'Billie' Dawn
,Anne Baxter,All About Eve,Eve Harrington
,Bette Davis,All About Eve,Margo Channing
,Eleanor Parker,Caged,Marie Allen
,Gloria Swanson,Sunset Boulevard,Norma Desmond
"1951
(24th)",Vivien Leigh,A Streetcar Named Desire,Blanche DuBois
,Katharine Hepburn,The African Queen,Rose Sayer
,Eleanor Parker,Detective Story,Mary McLeod
,Shelley Winters,A Place in the Sun,Alice Tripp
,Jane Wyman,The Blue Veil,Louise Mason
"1952
(25th)",Shirley Booth,"Come Back, Little Sheba",Lola Delaney
,Joan Crawford,Sudden Fear,Myra Hudson
,Bette Davis,The Star,Margaret Elliot
,Julie Harris,The Member of the Wedding,Frances 'Frankie' Addams
,Susan Hayward,With a Song in My Heart,Jane Froman
"1953
(26th)",Audrey Hepburn,Roman Holiday,Princess Ann
,Leslie Caron,Lili,Lili Daurier
,Ava Gardner,Mogambo,"Eloise ""Honey Bear"" Kelly"
,Deborah Kerr,From Here to Eternity,Karen Holmes
,Maggie McNamara,The Moon Is Blue,Patty O'Neill
"1954
(27th)",Grace Kelly,The Country Girl,Georgie Elgin
,Dorothy Dandridge,Carmen Jones,Carmen Jones
,Judy Garland,A Star Is Born,Esther Victoria Blodgett / Vicki Lester
,Audrey Hepburn,Sabrina,Sabrina Fairchild
,Jane Wyman,Magnificent Obsession,Helen Phillips
"1955
(28th)",Anna Magnani,The Rose Tattoo,Serafina Delle Rose
,Susan Hayward,I'll Cry Tomorrow,Lillian Roth
,Katharine Hepburn,Summertime,Jane Hudson
,Jennifer Jones,Love is a Many-Splendored Thing,Han Suyin
,Eleanor Parker,Interrupted Melody,Marjorie Lawrence
"1956
(29th)",Ingrid Bergman,Anastasia,Anna Koreff / Anastasia
,Carroll Baker,Baby Doll,Baby Doll Meighan
,Katharine Hepburn,The Rainmaker,Lizzie Curry
,Nancy Kelly,The Bad Seed,Christine Penmark
,Deborah Kerr,The King and I,Anna Leonowens
"1957
(30th)",Joanne Woodward,The Three Faces of Eve,Eve White / Eve Black / Jane
,Deborah Kerr,"Heaven Knows, Mr. Allison",Angela
,Anna Magnani,Wild Is the Wind,Gioia
,Elizabeth Taylor,Raintree County,Susanna Drake
,Lana Turner,Peyton Place,Constance MacKenzie
"1958
(31st)",Susan Hayward,I Want to Live!,Barbara Graham
,Deborah Kerr,Separate Tables,Sibyl Railton-Bell
,Shirley MacLaine,Some Came Running,Ginnie Moorehead
,Rosalind Russell,Auntie Mame,Mame Dennis
,Elizabeth Taylor,Cat on a Hot Tin Roof,"Margaret ""Maggie the Cat"" Pollitt"
"1959
(32nd)",Simone Signoret,Room at the Top,Alice Aisgill
,Doris Day,Pillow Talk,Jan Morrow
,Audrey Hepburn,The Nun's Story,Gabrielle van der Mal
,Katharine Hepburn,"Suddenly, Last Summer",Violet Venable
,Elizabeth Taylor,"Suddenly, Last Summer",Catherine Holly
"1960
(33rd)",Elizabeth Taylor,BUtterfield 8,Gloria Wandrous
,Greer Garson,Sunrise at Campobello,Eleanor Roosevelt
,Deborah Kerr,The Sundowners,Ida Carmody
,Shirley MacLaine,The Apartment,Fran Kubelik
,Melina Mercouri,Never on Sunday,Ilya
"1961
(34th)",Sophia Loren,Two Women,Cesira
,Audrey Hepburn,Breakfast at Tiffany's,Holly Golightly / Lula Mae Barnes
,Piper Laurie,The Hustler,Sarah Packard
,Geraldine Page,Summer and Smoke,Alma Winemiller
,Natalie Wood,Splendor in the Grass,Wilma Dean 'Deanie' Loomis
"1962
(35th)",Anne Bancroft,The Miracle Worker,Annie Sullivan
,Bette Davis,What Ever Happened to Baby Jane?,Baby Jane Hudson
,Katharine Hepburn,Long Day's Journey into Night,Mary Cavan Tyrone
,Geraldine Page,Sweet Bird of Youth,Alexandra Del Lago
,Lee Remick,Days of Wine and Roses,Kirsten Arnesen Clay
"1963
(36th)",Patricia Neal,Hud,Alma Brown
,Leslie Caron,The L-Shaped Room,Jane Fossett
,Shirley MacLaine,Irma la Douce,Irma La Douce
,Rachel Roberts,This Sporting Life,Margaret Hammond
,Natalie Wood,Love with the Proper Stranger,Angie Rossini
"1964
(37th)",Julie Andrews,Mary Poppins,Mary Poppins
,Anne Bancroft,The Pumpkin Eater,Jo Armitage
,Sophia Loren,Marriage Italian Style,Filumena Marturano
,Debbie Reynolds,The Unsinkable Molly Brown,Molly Brown
,Kim Stanley,Séance on a Wet Afternoon,Myra Savage
"1965
(38th)",Julie Christie,Darling,Diana Scott
,Julie Andrews,The Sound of Music,Maria von Trapp
,Samantha Eggar,The Collector,Miranda Grey
,Elizabeth Hartman,A Patch of Blue,Selina D'Arcy
,Simone Signoret,Ship of Fools,La Contessa
"1966
(39th)",Elizabeth Taylor,Who's Afraid of Virginia Woolf?,Martha
,Anouk Aimée,A Man and a Woman,Anne Gauthier
,Ida Kamińska,The Shop on Main Street,Rozalie Lautmann
